episode_key	source_file	method
W1L1 - Grundbog kapitel 01 - Introduktion til personlighedspsykologi.wav	notebooklm-podcast-auto/personlighedspsykologi/sources/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Grundbog kapitel 1 - Introduktion til personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
W1L1 - Grundbog kapitel 1 - Introduktion til personlighedspsykologi [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W1L1 Introforelæsning og nøglebegreber i personlighedspsykologien/W1L1 Grundbog kapitel 1 - Introduktion til personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
W4L1 - Freud (1973-1933) DA [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W4L1 Psykoanalysens personlighedsbegreb/W4L1 Freud (1973-1933) DA.pdf	manual_from_pdf_ocr_v1
W4L1 - Gammelgaard (2007) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W4L1 Psykoanalysens personlighedsbegreb/W4L1 Gammelgaard (2007).pdf	manual_from_pdf_ocr_v1
W4L2 - Lacan (1966) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W4L2 Psykoanalytisk personlighedsstruktur/W4L2 Lacan (1966).pdf	manual_from_pdf_ocr_v1
W6L1 - Grundbog kapitel 04 - Fænomenologisk personlighedspsykologi.wav	notebooklm-podcast-auto/personlighedspsykologi/sources/W6L1 Fænomenologi/W6L1 Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
W6L1 - Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W6L1 Fænomenologi/W6L1 Grundbog kapitel 4 - Fænomenologisk personlighedspsykologi.pdf	manual_from_pdf_ocr_v1
W6L2 - Boss (1963) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W6L2 Eksistentiel personlighedspsykologi I (Funch)/W6L2 Boss (1963).pdf	manual_from_pdf_ocr_v1
W6L2 - May (1966) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W6L2 Eksistentiel personlighedspsykologi I (Funch)/W6L2 May (1966).pdf	manual_from_pdf_ocr_v1
W7L1 - Jacobsen (2021) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W7L1 Eksistentiel personlighedspsykologi II (Bjerregaard-Nielsen)/W7L1 Jacobsen (2021).pdf	manual_from_pdf_ocr_v1
W7L2 - Evans (1975) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W7L2 Humanistisk psykologi/W7L2 Evans (1975).pdf	manual_from_pdf_ocr_v1
W8L2 - Holzkamp (1982) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W8L2 Critical psychology/W8L2 Holzkamp (1982).pdf	manual_from_pdf_ocr_v1
W9L1 - Dreier (1999) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W9L1 Kritisk psykologi/W9L1 Dreier (1999).pdf	manual_from_pdf_ocr_v1
W9L1 - Grundbog kapitel 10 - Kritisk psykologi [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W9L1 Kritisk psykologi/W9L1 Grundbog kapitel 10 - Kritisk psykologi.pdf	manual_from_pdf_ocr_v1
W9L1 - Holzkamp (2013) [EN].mp3	notebooklm-podcast-auto/personlighedspsykologi/sources/W9L1 Kritisk psykologi/W9L1 Holzkamp (2013).pdf	manual_from_pdf_ocr_v1
